Quantity,Description,Comment,LibRef
14,CAP CER 2.2UF 16V X5R 0603,2.2µF,GRM188R61C225KE15D
2,CAP CER 10PF 50V NP0 0603,10pF,GRM1885C1H100JA01D
18,CAP CER 0.1UF 25V X7R 0603,0.10µF,GRM188R71E104KA01D
8,"CAP, FP Series, 470 µF, 25 V, Radial Can - SMD, 10 mm",470uF,EEEFP1E471AP
8,CAP CER 4.7UF 35V X5R 0805,4.7uF,GRM219R6YA475KA73D
1,CAP CER 82PF 100V NP0 0603,82pF,GRM1885C2A820JA01D
1,CAP CER 270PF 50V NP0 0603,270pF,GRM1885C1H271JA01D
1,CAP TANT 68UF 16V 20% 2312 250mOhm,68uF,T495C686M016ATE250
2,CAP CER 0.022UF 25V X7R 0603,0.022µF,GRM188R71E223KA01D
10,CAP CER 2200PF 50V NP0 0603,2200pF,GRM1885C1H222JA01D
2,"Rectifier Diode, Single, 40 V, 1 A, SOD-123FL, 2, 550 mV",,MBR140SFT1G
1,"MICRO USB B, RECEPTACLE, SMT, RA, 5WAY",,10103594-0001LF
1,"Header, 5-Pin",,PPTC051LFBN-RC
1,"Header, 18-Pin",Leftheader,PPTC181LFBN-RC
1,"Header, 12-Pin",Rightheader,PPTC121LFBN-RC
1,INDUCTOR 22UH 1.4A 175.5 MOHM,22uH,NR6028T220M
1,LED GREEN CLEAR 0603 SMD,Green,LTST-C190KGKT
28,MOSFET N-CH 30V 13A SO8FL,,NTMFS4935NT1G
8,RES SMD 22 OHM 1% 1/10W 0603,22R,RC0603FR-0722RL
7,RES SMD 120 OHM 1% 1/10W 0603,120R,RC0603FR-07120RL
1,RES SMD 10K OHM 1% 1/10W 0603,10K,RC0603FR-0710KL
2,RES SMD 1K OHM 1% 1/10W 0603,1k,RC0603FR-071KL
2,RES SMD 47K OHM 1% 1/10W 0603,47K,RC0603FR-0747KL
10,RES SMD 3.3K OHM 1% 1/10W 0603,3.3k,RC0603FR-073K3L
3,THERMISTOR 10K OHM NTC 0402 SMD,10k,NCP15XH103F03RC
1,RES SMD 220K OHM 1% 1/10W 0603,220k,RC0603FR-07220KL
3,RES SMD 18K OHM 1% 1/10W 0603,18k,RC0603FR-0718KL
14,RES SMD 2.2 OHM 1% 1/10W 0603,2.2R,RC0603FR-072R2L
5,RES SMD 0.0005 OHM 1% 3W 2512,500uOhm,CSR2512C0R0005F
1,3.3-V CAN Bus Transceiver,,SN65HVD232D
1,"ARM Cortex-M4 32-bit MCU+FPU, 210 DMIPS, 1024 kB Flash, 192 kB Internal RAM, 51 I/Os, 64-pin LQFP, -40 to 85 degC, Tray",,STM32F405RGT6
1,IC REG LDO 3.3V 1A SOT223,3.3V,AZ1117EH-3.3TRG1
2,"MOTOR DRIVER, 3PH, 56HTSSOP",,DRV8301
1,"DRIVER, MOSFET, HALF BRIDGE, WSON-8, 1A",,LM5109BSD/NOPB
1,"ANALOG DEVICES Current Sense Amplifier, Bidirectional, 1, 130 µA, NSOIC",,AD8418WBRZ
1,IC REG LDO 3.3V 0.25A SOT23-5,3.3V,LP5907MFX-3.3/NOPB
1,"Crystal 8MHz ±10ppm 10pF 200 Ohm -10°C ~ 60°C Surface Mount 4-SMD, No Lead (DFN, LCC)",8 MHz,ABM3B-8.000MHZ-10-1-U-T
